,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,ID,Section,slideNumber
78,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.210,0.145,0.370,0.00,0.975,0.441,0.085,0.00,0.048,0.540,139564.0,2.0,9.0
79,0.175,0.00,0.113,0.241,0.525,0.00,1.009,0.556,0.258,0.00,0.016,0.145,0.370,0.00,0.977,0.441,0.085,0.00,0.039,0.540,139564.0,2.0,9.0
80,0.175,0.00,0.131,0.241,0.525,0.00,1.020,0.556,0.258,0.00,0.108,0.145,0.370,0.00,0.977,0.441,0.085,0.00,0.035,0.540,139564.0,2.0,9.0
81,0.175,0.00,0.168,0.241,0.525,0.00,1.010,0.556,0.258,0.00,0.151,0.145,0.370,0.00,0.973,0.441,0.085,0.00,0.029,0.540,139564.0,2.0,9.0
82,0.175,0.00,0.219,0.241,0.525,0.00,0.983,0.556,0.258,0.00,0.169,0.145,0.370,0.00,0.963,0.441,0.085,0.00,0.080,0.540,139564.0,2.0,9.0
83,0.175,0.00,0.292,0.241,0.525,0.00,0.951,0.556,0.258,0.00,0.161,0.145,0.370,0.00,0.944,0.441,0.085,0.00,0.785,0.540,139564.0,2.0,9.0
84,0.175,0.00,0.540,0.241,0.525,0.00,0.928,0.556,0.258,0.00,0.171,0.298,0.370,0.00,0.957,1.014,0.085,0.00,0.771,0.365,139564.0,2.0,9.0
85,0.175,0.00,0.543,0.202,0.525,0.00,0.929,0.558,0.258,0.00,0.183,0.305,0.370,0.00,0.961,0.982,0.085,0.00,0.711,0.656,139564.0,2.0,9.0
86,0.175,0.00,0.538,0.296,0.525,0.00,0.929,0.548,0.258,0.00,0.200,0.305,0.370,0.00,0.957,0.982,0.085,0.00,0.614,0.656,139564.0,2.0,9.0
87,0.175,0.00,0.517,0.296,0.525,0.00,0.927,0.548,0.258,0.00,0.224,0.305,0.370,0.00,0.947,0.982,0.085,0.00,0.487,0.656,139564.0,2.0,9.0
88,0.175,0.00,0.476,0.296,0.525,0.00,0.926,0.548,0.258,0.00,0.267,0.305,0.370,0.00,0.935,0.982,0.085,0.00,0.350,0.656,139564.0,2.0,9.0
89,0.175,0.00,0.427,0.296,0.525,0.00,0.928,0.548,0.258,0.00,0.295,0.305,0.370,0.00,0.928,0.982,0.085,0.00,0.234,0.656,139564.0,2.0,9.0
90,0.175,0.00,0.384,0.296,0.525,0.00,0.929,0.548,0.258,0.00,0.309,0.305,0.370,0.00,0.933,0.982,0.085,0.00,0.158,0.656,139564.0,2.0,9.0
91,0.175,0.00,0.354,0.296,0.525,0.00,0.927,0.548,0.258,0.00,0.326,0.305,0.370,0.00,0.948,0.982,0.085,0.00,0.129,0.656,139564.0,2.0,9.0
92,0.175,0.00,0.335,0.296,0.525,0.00,0.920,0.548,0.258,0.00,0.336,0.311,0.370,0.00,0.965,1.016,0.085,0.00,0.129,0.714,139564.0,2.0,9.0
93,0.175,0.00,0.320,0.382,0.525,0.00,0.909,0.551,0.258,0.00,0.336,0.350,0.370,0.00,0.981,1.026,0.085,0.00,0.134,0.764,139564.0,2.0,9.0
94,0.175,0.00,0.300,0.455,0.525,0.00,0.896,0.559,0.258,0.00,0.347,0.350,0.370,0.00,1.001,1.026,0.085,0.00,0.095,0.764,139564.0,2.0,9.0
95,0.175,0.00,0.258,0.455,0.525,0.00,0.874,0.559,0.258,0.00,0.405,0.350,0.370,0.00,1.017,1.026,0.085,0.00,0.010,0.764,139564.0,2.0,9.0
96,0.175,0.00,0.161,0.455,0.525,0.00,0.858,0.559,0.258,0.00,0.397,0.304,0.370,0.00,1.022,1.020,0.085,0.00,0.015,0.822,139564.0,2.0,9.0
97,0.175,0.00,0.141,0.492,0.525,0.00,0.856,0.566,0.258,0.00,0.378,0.267,0.370,0.00,1.025,1.014,0.085,0.00,0.045,0.894,139564.0,2.0,9.0
98,0.175,0.00,0.118,0.542,0.525,0.00,0.854,0.567,0.258,0.00,0.364,0.231,0.370,0.00,1.027,1.016,0.085,0.00,0.076,0.970,139564.0,2.0,9.0
99,0.175,0.00,0.094,0.601,0.525,0.00,0.849,0.562,0.258,0.00,0.349,0.231,0.370,0.00,1.028,1.016,0.085,0.00,0.108,0.970,139564.0,2.0,9.0
100,0.175,0.00,0.069,0.601,0.525,0.00,0.840,0.562,0.258,0.00,0.327,0.231,0.370,0.00,1.032,1.016,0.085,0.00,0.139,0.970,139564.0,2.0,9.0
101,0.175,0.00,0.042,0.601,0.525,0.00,0.831,0.562,0.258,0.00,0.302,0.231,0.370,0.00,1.042,1.016,0.085,0.00,0.166,0.970,139564.0,2.0,9.0
102,0.175,0.00,0.017,0.601,0.525,0.00,0.821,0.562,0.258,0.00,0.295,0.231,0.370,0.00,1.060,1.016,0.085,0.00,0.183,0.970,139564.0,2.0,9.0
103,0.175,0.00,0.005,0.601,0.525,0.00,0.806,0.562,0.258,0.00,0.295,0.231,0.370,0.00,1.087,1.016,0.085,0.00,0.183,0.970,139564.0,2.0,9.0
104,0.175,0.00,0.022,0.601,0.525,0.00,0.783,0.562,0.258,0.00,0.295,0.231,0.370,0.00,1.116,1.016,0.085,0.00,0.162,0.970,139564.0,2.0,9.0
105,0.175,0.00,0.038,0.601,0.525,0.00,0.750,0.562,0.258,0.00,0.295,0.231,0.370,0.00,1.138,1.016,0.085,0.00,0.133,0.970,139564.0,2.0,9.0
106,0.175,0.00,0.063,0.601,0.525,0.00,0.712,0.562,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,139564.0,2.0,9.0
107,0.208,0.00,0.332,0.281,139564,2,9,,,,,,,,,,,,,,,,
108,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
109,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
110,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
111,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
112,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
113,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
114,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
115,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
116,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
117,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
118,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
119,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
120,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
121,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
122,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
123,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
124,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
125,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
126,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
127,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
128,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
129,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
130,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
131,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
132,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
133,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
134,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
135,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
136,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
137,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
138,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
139,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
140,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
141,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
142,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
143,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
144,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
145,0.448,0.00,1.087,0.538,0.808,0.00,0.225,0.482,0.641,0.00,0.919,0.467,0.131,0.00,0.523,0.130,0.208,0.00,0.332,0.281,139564.0,2.0,10.0
